#,Company Name,Status,Location,Verified,Where to apply,Roles,Job Type,Industry,Remarks
687,Dressfolk,Hiring freeze,Delhi,,,,,Retail,
688,DRGClarivate,Layoffs,India,,,,,KPO  Research Analytics,
689,Drip Capital,Hiring freeze,Mumbai,,,,,Financial Services,
690,DriveU,Layoffs,Bengaluru,,,,,Consumer Services,
691,Drivezy,Layoffs,Bengaluru,,,,,Automotive,
692,Droice Labs,Hiring,Bengaluru,,httpsdroicelabs.comcar,Front end Engineer, ,Full-Time,Healthcare,Roles including - Data scie
693,Drona HQ,Hiring,Mumbai,,httpswww.hirist.comjdr,Frontend Developer,Full-Time,Business Software,
694,Droom,Hiring,Gurugram,No,httpswww.linkedin.comj,HR Analyst,Full-Time,Marketing & Advertising,
695,Droom Technology,Hiring freeze,Gurgaon,,,,,Information Technology,
696,Droom Technology Pvt Ltd,Layoffs,Gurgaon,,,,,Automotive,
697,Drop Thought,Hiring,Pune,Yes,httpswww.linkedin.comj,Sales Manager,Full-Time,IT Infrastructure,
698,DropThought,Hiring freeze,Chennai,,,,,Marketing & Advertising,
699,Druva,Hiring freeze,Pune,,,,,Business Software,
700,DS Group,Hiring,Delhi,No,httpswww.linkedin.comj,General Manager- S,Full-Time,Food & Dining,
701,DSM,Hiring,Hyderabad,No,httpswww.linkedin.comj,Talent Suite Support,Full-Time,Chemicals  PetroChemi,
702,DTDC,Hiring,Mumbai,,httpswww.naukri.comdt,Zonal Commercial H,Full-Time,Consulting & Services,
703,Duck Creek Technologies,Hiring freeze,Mumbai,,,,,Business Software,
704,Duff & Phelps,Hiring,Mumbai,No,httpswww.linkedin.comj,VP- Marketing,Full-Time,Financial Services,
705,Dunzo,Hiring,Delhi,No,httpswww.linkedin.comj,Supply Associate, C,Full-Time,Consumer Services,
706,DUPont,Hiring,Hyderabad,Yes,httpswww.linkedin.comj,Analyst,Full-Time,Biotechnology,
707,Dvara E-Dairy,Hiring,Chennai,No,httpswww.linkedin.comj,Senior Manager – B,Full-Time,Financial Services,
708,Dx Sherpa Technologies,Hiring,Maharashtra,No,httpswww.linkedin.comj,BD Manager,Full-Time,IT Infrastructure,
709,DXC Technology,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Professional ,Full-Time,Information Technology,
710,e-Hireo,Hiring,Bengaluru,,httpswww.linkedin.comc,User Researcher,Full-Time,Recruitment,
711,E2E Networks Limited,Layoffs,India,,,,,,Multiple roles
712,E2Open,Hiring,Bengaluru,No,httpswww.linkedin.comj,Application Engineer,Full-Time,,
713,EagleView,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Manager- W,Full-Time,IT Infrastucture,
714,Early Birds Marketplace,Hiring,Delhi,Yes,httpswww.linkedin.comj,Technical Specialist,Full-Time,Information Technology,
715,Easy Eat,Hiring,Gurgaon,,httpsangel.cocompany,Full Stack Developer,Full-Time,Food & Dining,
716,Easy Reach Solutions,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Engineering,
717,Eaton,Hiring,Hadaspar,No,httpswww.linkedin.comj,Manager Operation,Full-Time,Manufacturing,
718,Ebix Smartclass,Hiring,Shimla,No,httpswww.linkedin.comj,Territory Sales Mana,Full-Time,Education Tech,
719,Ecolab Digital Center,Hiring Freeze,Bengaluru,No,httpswww.linkedin.comj,Data Engineer,Full-Time,IT Infrastucture,
720,Ecom Express Private Litd,Hiring,Lucknow,No,httpswww.linkedin.comj,Manager- Finance ,Full-Time,Logistics & Supply Chain,
721,Economic Times,Layoffs,India,,,,,,
722,Ecs Fin,Hiring freeze,Thiruvananthap,,,,,,
723,Edelweiss Financial Services,Hiring freeze,Mumbai,,,,,Financial Services,
724,Edge Networks,Layoffs,Bengaluru,,,,,HR Tech,
725,Edge Verve,Hiring,Chennai,No,httpswww.linkedin.comj,DevOps Engineer,Full-Time,IT Infrastucture,
726,EdgeVerve,Hiring,Bengaluru,No,httpswww.linkedin.comj,Head of Branding,Full-Time,IT Infrastucture,
727,Edifecs,Hiring,Mohali,No,httpswww.linkedin.comj,Implementation Co,Full-Time,Business Software,
728,Editorialist YX,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Data Scientist,Full-Time,Others,
729,Edkal Technologies Inc,Hiring Freeze,Gurgaon,,,,Full-Time,IT Infrastructure,
730,Educational Initiatives,Hiring,Ahmedabad, Be,,httpswww.ei-india.comc,Brand Manager, Edu,Full-Time,Education,
731,Educomp Solutions,Hiring,Bengaluru,No,httpswww.linkedin.comj,Data Scientist,Full-Time,IT Infrastructure,
732,Educomp Solutions Ltd,Hiring Freeze,Bengaluru,,,,Full-Time,Education Tech,
733,EduFund India,Hiring,Mumbai,Yes,httpswww.linkedin.comj,Senior Full Stack En,Full-Time,Financial Services,
734,Edureka,Hiring Freeze,Bengaluru,,,,Full-Time,Education Tech,
735,Eduthrill,Offer Resci,Gurgaon,,,,,Education Tech,
736,Edvoy,Hiring,Chennai,No,httpswww.linkedin.comj,Full Stack Developer,Full-Time,Education,
737,edWisor,Hiring,Gurgaon,,careers@edwisor.com,Sales, Marketing, Te,Full-Time,Education Tech,
738,edWisor.com,Hiring freeze,Gurgaon,,,,,Education Tech,
739,eg Innovations,Hiring freeze,Chennai,,,,,IT Infrastructure,
740,Egnify Technologies,Hiring freeze,,,,,,Education Tech,
741,EI Design Pvt Ltd,Hiring,Bengaluru,No,httpswww.linkedin.comj,BD Manager,Full-Time,Education Tech,
742,Eicher,Hiring freeze,Pithampur, Indore,,,,,Automotive,
743,eInfochips,Hiring freeze,Ahmedabad,,,,Full-Time,Engineering,
744,Ekincare,Layoffs,Hyderabad,,,,,Healthcare,
745,Electronic Arts,Hiring,Hyderabad,No,httpswww.linkedin.comj,Manager, People Op,Full-Time,Others,
746,Electronic Arts (EA),Hiring,Hyderabad,No,httpswww.linkedin.comj,Manager- People O,Full-Time,Others,
747,Electronica Finance Limited,Hiring,Delhi,No,httpswww.linkedin.comj,Regional Product M,Full-Time,Financial Services,
748,Elevate Services,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Legal,
749,Eli Lilly & Company,Hiring,Bengaluru,No,httpswww.linkedin.comj,Data Solutions Anal,Full-Time,Pharmaceutical,
750,Ellie Mae,Hiring,Pune,Yes,httpswww.linkedin.comj,Business Analyst,Full-Time,Business Software,
751,Ellucian,Hiring,Bengaluru,,httpscareers.ellucian.com,Business Analyst, Pr,Full-Time,Business Software,
752,Elocity,Hiring,Bengaluru,No,httpswww.linkedin.comj,Full Stack Developer,Full-Time,IT Infrastucture,
753,Elucidata Corporation,Hiring freeze,Delhi, Bengaluru,,,,,Healthcare,
754,Embibe,Hiring,Bengaluru,,httpswww.instahyre.com,Software Engineer, ,Full-Time,Education Tech,
755,Emcure Pharmaceuticals Limit,Hiring,Pune,No,httpswww.linkedin.comj,Manager - Business ,Full-Time,Pharmaceutical,
756,Emerson Automation Solution,Hiring,Punjab,Yes,httpswww.linkedin.comj,Business ANalyst- Fi,Full-Time,Engineering,
757,Emerson Commercial & Resid,Hiring,Pune,No,httpswww.linkedin.comj,Integration Developer,Full-Time,Manufacturing,
758,Emids,Hiring,Bengaluru,No,httpswww.linkedin.comj,Director- Human Re,Full-Time,Healthcare,
759,Emirates airlines,Layoffs,Dubai,,,,,,
760,EmpFly,Hiring,Gurgaon,No,httpswww.linkedin.comj,PHP Developer,Full-Time,Information Technology,
761,Employee Experts Solutions P,Hiring,Bengaluru,No,httpswww.linkedin.comj,PHP Programmer,Full-Time,IT Infrastructure,
762,EmployWise,Hiring freeze,,,,,,,
763,Emproto Technologies,Hiring freeze,India,,,,Full-Time,Business Software,
764,EMSOL,Hiring,Mumbai,Yes,httpswww.linkedin.comj,Product Manager,Full-Time,IT Infrastructure,
765,Emxcel,Hiring,Pune,No,httpswww.linkedin.comj,Python Developer,Full-Time,IT Infrastucture,
766,Enago (Crimson Interactive),Hiring,Mumbai,Yes,httpswww.linkedin.comj,Product Manager,Full-Time,Publishing,
767,Endurance International Group,Hiring,Bengaluru,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Engineering,
768,Engagedly,Hiring,Bengaluru,,httpsengagedly.freshtea,Customer Service, P,Full-Time,Information Technology,
769,Engagely.ai,Hiring freeze,Mumbai,,,,,Financial Services,Hiring for Multiple leaders
770,Engineer Babu,Hiring,Indore,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,IT Infrastructure,
771,Engineer.ai,Hiring,Gurgaon,No,httpswww.linkedin.comj,Global Sales Operati,Full-Time,IT Infrastructure,
772,Enquero global,Hiring Freeze,Bengaluru,,,,Full-Time,Consulting & Services,
773,Entercoms,Hiring Freeze,Pune,,,,Full-Time,IT Infrastructure,
774,Entercoms Inc,Hiring Freeze,Pune,,,,Full-Time,IT Infrastucture,
775,Entigrity,Hiring,Ahmedabad,No,httpswww.linkedin.comj,International Busine,Full-Time,Financial Services,
776,EntNetwrk,Hiring,Delhi,No,httpswww.linkedin.comj,IOS Developer,Full-Time,Media & Entertainment,
777,Entropik Tech,Hiring,Bengaluru,No,httpswww.linkedin.comj,Data Scientist,Full-Time,IT Infrastructure,
778,Envestnet,Hiring,Thiruvananthap,No,httpswww.linkedin.comj,Senior UI Designer,Full-Time,Information Technology,
779,Envestnet  Yodlee India Com,Hiring,Karnataka,No,httpswww.linkedin.comj,Quality Assurance T,Full-Time,Business Software,
780,EOS- Eureka Outsourcing Sol,Hiring Freeze,Delhi,,,,Full-Time,BPO  ITES,
781,EPAM System,Hiring,Hyderabad,Yes,httpswww.linkedin.comj,iOS Developer,Full-Time,IT Infrastructure,
782,EPAM Systems,Hiring Freeze,Bengaluru, Hyde,,,,Full-Time,Information Technology,
783,epiFi,Hiring freeze,Bengaluru,,,,,Information Technology,
784,Epik Solutions,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Sr. Proposal writer,Full-Time,IT Infrastructure,
785,Epiq,Hiring,Pune,Yes,httpswww.linkedin.comj,Operation Analyst,Full-Time,IT Infrastructure,
786,Epistle Communications,Hiring freeze,,,,,,,
787,Epoch Infrastructure Advisory,Hiring,Delhi,Yes,httpswww.linkedin.comj,Digital Marketing In,Full-Time,Consulting & Services,
788,Epsilon,Hiring freeze,,,,,Full-Time,Marketing & Advertising,
789,Epsilon India,Hiring,Bengaluru,No,httpswww.linkedin.comj,Compensation & Be,Full-Time,Marketing & Advertising,
790,EQ India,Hiring,Chennai,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Financial Services,
791,Equinox Labs,Hiring,All India,,httpswww.equinoxlab.co,Sales,Full-Time,Consulting & Services,
792,Equinox's Drones,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Business Developm,Full-Time,Aviation,
793,Equirus Capital,Hiring,Mumbai,,httpswww.equirus.comc,Equity Analyst, I-Ban,Full-Time,Financial Services,
794,Ergode IT Services,Hiring freeze,Mumbai, Kolkata,,,,,,
795,Ericson,Hiring freeze,Noida,,,,,Telecom,
796,Ericsson,Hiring,India,No,httpswww.linkedin.comj,Integration Engineer,Full-Time,Telecom,
797,Ericsson,Hiring,Bengaluru,No,httpswww.linkedin.comj,Automation Engineer,Full-Time,Information Technology,
798,Ernst & Young,Hiring,Gurgaon,No,httpswww.linkedin.comj,Data Analyst,Full-Time,Consulting & Services,
799,Eruvaka Technologies,Hiring,Vijayawada,No,httpswww.linkedin.comj,Product Manager,Full-Time,Manufacturing,
800,Eshopbox,Hiring freeze,Gurgaon,,,,,Information Technology,
801,Esko,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Packaging,
802,Esper,Hiring freeze,Bengaluru,,,,,IT Infrastructure,
803,Espressif Systems,Hiring,Pune,No,httpswww.linkedin.comj,Automation Engineer,Full-Time,Engineering,
804,eTail Networks Ltd,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,XPC Broker,Full-Time,Business Software,
805,Eureka Labs Limited,Hiring freeze,Remote,,,,,Healthcare,
806,Eureka Outsourcing Solutions,Hiring freeze,Mumbai,,,,,BPO  ITES,
807,Euro Safety (India),Hiring freeze,Gurgaon,,,,,Others,
808,Euronet Worldwide,Hiring,Pune,Yes,httpswww.linkedin.comj,Senior Software Dev,Full-Time,Financial Services,
809,Evertz,Hiring,Bengaluru,No,httpswww.linkedin.comj,Full Stack Engineer,Full-Time,Media & Entertainment,
810,Everwell Health solutions Pvt ,Hiring,Bengaluru,,Send profiles to careers@e,Devops, Senior soft,Full-Time,Healthcare,Any interested candidates 
811,Evince Development,Hiring,Ahmedabad,No,httpswww.linkedin.comj,Wordpress Developer,Full-Time,IT Infrastucture,
812,Evolent Health,Hiring,Pune,Yes,httpswww.linkedin.comj,OPA BA,Full-Time,IT Infrastructure,
813,Evolving Systems,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Software Engineer,Full-Time,Telecom,
814,Exadatum Software Services,Hiring freeze,Bengaluru,,,,,IT Infrastructure,
815,Excel Callnet,Hiring,Gurgaon,No,httpswww.linkedin.comj,Business Developm,Full-Time,BPO  ITES,
816,Excis Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Software Engineer,Full-Time,IT Infrastructure,
817,Excitel Broadband,Hiring,Delhi,No,httpswww.linkedin.comj,Manager - Technolo,Full-Time,Information Technology,
818,Exemplifi,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Senior Frontend De,Full-Time,Information Technology,
819,Exhibition Showcase Magazine,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Content Writer,Full-Time,Media & Entertainment,
820,Exito Media Concepts,Hiring freeze,,,,,,Consulting & Services,
821,Exl,Hiring freeze,Noida, Pune, Gu,,,,,,
822,EXL Analytics,Hiring freeze,India,,,,,Consulting & Services,
823,Exl India,Hiring freeze,Noida,,,,,BPO  ITES,
824,EXL Service,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Life Insurance Actua,Full-Time,Financial Services,
825,Expedia Group,Hiring freeze,Gurgaon,,,,,Information Technology,
826,Experian,Hiring freeze,Hyderabad,,,,,Information Technology,
827,Expertily,Hiring,Gurgaon,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Legal,
828,Expertlancing Research Servic,Hiring,Gurgaon,No,httpswww.linkedin.comj,BD Specialist,Full-Time,BPO  ITES,
829,Extramarks Education Pvt. L,Hiring,Gujarat,,httpswww.linkedin.comc,Business Developm,Full-Time,Education Tech,Hiring for BDE, Sr BDE, Assi
830,Extramarks Education Pvt. Ltd.,Hiring,Gujarat,,mudit.gupta@extramarks.in,,,Education Tech,Hiring for BDE, Sr BDE, Assi
831,Exusia Inc,Hiring,Pune,No,httpswww.linkedin.comj,Ab Initio Administra,Full-Time,Information Technology,
832,Exxon Mobil,Hiring freeze,Bengaluru,,,,,Energy,
833,Eyeota,Hiring,Pune,No,httpswww.linkedin.comj,Backend Developer,Full-Time,Marketing & Advertising,
834,Ezetap Mobile Solutions,Hiring,Bengaluru,No,httpswww.linkedin.comj,Android Application,Full-Time,Financial Services,
835,F5 Networks,Hiring,Hyderabad,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Information Technology,
836,Fab hotels,Hiring freeze,India,,,,,Hospitality,
837,FabAlley,Hiring freeze,Noida,,,,,Retail,
838,FABgetaways,Hiring freeze,Ahmedabad, Indi,a,,Customer Service Re,Full-Time,Tourism,
839,Fabindia Overseas Pvt Ltd,Hiring,Delhi,No,httpswww.linkedin.comj,Head- Social Media,Full-Time,Retail,
840,Fablas Impex Pvt Ltd,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Semi Tech Voice Sup,Full-Time,KPO  Research Analytics,
841,Fabric Inc,Hiring,Bengaluru,,httpsboards.greenhouse.,Software Developm,Full-Time,Business Software,
842,Facebook,Hiring,India,No,httpswww.linkedin.comj,Public Policy Manager,Full-Time,Consumer Tech,
843,Factoreal,Hiring freeze,India,,,,Full-Time,Business Software,
844,Factset,Hiring,India,No,httpswww.linkedin.comj,Digital - Titan 2.0 - ,Full-Time,Consumer Tech,
845,Factspan Inc.,Layoffs,Bengaluru, Seattl,,,,,,
846,Fairfest Media Limited,Hiring,Delhi,No,httpswww.linkedin.comj,Freelance Journalist,Full-Time,Media & Entertainment,
847,Falabella India,Hiring,Bengaluru,No,httpswww.linkedin.comj,IOS Developer,Full-Time,Information Technology,
848,FalconBrick Technologies,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Frontend Developer,Full-Time,IT Infrastructure,
849,Fame Technologies,Hiring freeze,,,,,,Consulting & Services,
850,Fampay,Hiring,Bengaluru,No,httpswww.linkedin.comj,Finance Manager,Full-Time,Financial Services,
851,Fanatics Inc,Hiring,Hyderabad,No,httpswww.linkedin.comj,Senior Product Man,Full-Time,Retail,
852,FanCode,Hiring,Mumbai,No,httpswww.linkedin.comj,Senior HR Manager,Full-Time,Others,
853,Fancy.com,Hiring,Gurgaon,No,httpswww.linkedin.comj,DevOpsCloud Archi,Full-Time,Information Technology,
854,Fanuc India Pvt Ltd,Hiring,Ludhiana,No,httpswww.linkedin.comj,Business Developm,Full-Time,Manufacturing,
855,Fareportal,Layoffs,,,,,,Travel & Transportation,httpseconomicTimes.indi
856,Fareye,Hiring,Noida,,ta@getfareye.com,httpscareers.getfa,Full-Time,Information Technology,We are hiring and would lik
857,Farm Shiksha,Hiring,Chennai,No,httpswww.linkedin.comj,Marketing Executive,Full-Time,Food & Dining,
858,FarmERP,Hiring,Pune,No,httpswww.linkedin.comj,Business Developm,Full-Time,IT Infrastructure,
859,farmGuide,Hiring,Gurgaon,,httpsfarmguide.incareer,,,Food & Dining,
860,Farmpay,Hiring,India,,httpsangel.cocompanyf,Lead Product Desig,Full-Time,Financial Services,
861,Fashion TV India,Hiring freeze,Mumbai,,,,,Media & Entertainment,
862,Fashionfore,Hiring freeze,Bengaluru,,,,,Others,
863,Faststream Technologies,Hiring,Bengaluru,No,httpswww.linkedin.comj,Lead Java Developer,Full-Time,IT Infrastucture,
864,FaveSuite,Hiring,Coimbatore,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Information Technology,
865,FB Org,Hiring,Bengaluru,,httpstinyurl.comy9slnx75,Tele caller,Full-Time,BPO  ITES,
866,FCI CCM,Hiring freeze,Noida,,,,,IT Infrastructure,
867,Featherlite,Hiring freeze,Bengaluru,,,,,Consumer Goods,
868,FIAPO- Federation of Indian ,Hiring,Delhi,Yes,httpswww.linkedin.comj,Campaign Coordina,Full-Time,NGO  Social Services,
869,FICO,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior UI Developer,Full-Time,Business Software,
870,Fidelity Canada,Hiring,Gurgaon,No,httpswww.linkedin.comj,Assistant Manager- ,Full-Time,Financial Services,
871,Fidelity International,Hiring,Gurgaon,No,httpswww.linkedin.comj,Python Developer,Full-Time,Financial Services,
872,Fidelity Investments,Hiring freeze,Bengaluru,,,,,Financial Services,
873,Field Fresh Foods Pvt Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Area Sales Manager,Full-Time,Food & Dining,
874,Finastra,Hiring,Bengaluru,No,httpswww.linkedin.comj,QA Engineer,Full-Time,Financial Services,
875,Finaxar,Hiring,Pune,No,httpswww.linkedin.comj,Senior Manager-HR,Full-Time,Financial Services,
876,Findability Sciences,Hiring,Mumbai,No,httpswww.linkedin.comj,Database Administr,Full-Time,IT Infrastructure,
877,Finicity,Hiring,Mumbai,Yes,httpswww.linkedin.comj,Full Stack Engineer,Full-Time,Financial Services,
878,Finitiatives Learning India Pvt ,Hiring freeze,Mysore,,,,,Education,
879,Finlanders,Hiring freeze,Delhi,,,,,Financial Services,
880,FinnovationZ.com,Hiring,Gurgaon,No,httpswww.linkedin.comj,Web Developer- Bac,Full-Time,Financial Services,
881,Finshots,Hiring,Bengaluru,,httpswww.instahyre.com,Software Developm,Full-Time,Financial Services,
882,Fintech,Layoffs,Gurgaon,,,,,Fintech,
883,Finwego,Hiring,Chennai,No,httpswww.linkedin.comj,Full Stack Developer,Full-Time,Financial Services,
884,Finxera,Hiring,Chandigarh,No,httpswww.linkedin.comj,Product Manager,Full-Time,Business Software,
885,FireEye Inc,Hiring freeze,Pune,,,,,Information Technology,
886,First American India,Hiring,Tamil Nadu,,httpswww.bebee.comjo,Operations Manager,Full-Time,Financial Services,Great hike has been given t
887,First Salary.in,Hiring freeze,Gurgaon,,,,,Skill Development,
888,FIS Global,Hiring,Pune,,httpscareers.fisglobal.co,Product Developme,Full-Time,Financial Services,
889,Fiserv,Hiring,Thane,Yes,httpswww.linkedin.comj,Staff Accountant,Full-Time,Financial Services,
890,Fiserv india,Hiring,Kolkata,No,httpswww.linkedin.comj,Manager- Operations,Full-Time,Financial Services,
891,Fission Labs,Hiring,Hyderabad,No,httpswww.linkedin.comj,Solution Architect - ,Full-Time,Business Software,
892,Fission Labs,Hiring,Hyderabad,Telan,,satish.ch@fissionlabs.com,Solution Architect(Ja,Full-Time,Business Software,
893,Fission Labs,Hiring,Hyderabad,Telan,,satish.ch@fissionlabs.com,ReactJS developer,R,Full-Time,Information Technology,Need ReactJS developers w
894,Fitternity,Hiring,Mumbai,,httpswww.hirist.comjfit,iOS Application Dev,Full-Time,Healthcare,
895,Flatirons Solutions,Hiring freeze,Bengaluru,,,,,Information Technology,
896,Fleet Studio,Hiring freeze,Chennai,,,,,Information Technology,
897,Flex Trade,Hiring,,,ganesh.waghmare@flextra,,,Financial Services,
898,Flexfony Telco Pvt Ltd,Hiring,Delhi,No,httpswww.linkedin.comj,Developer,Full-Time,Telecom,
899,Flexiple,Hiring freeze,Bengaluru,,httpsangel.cocompanyf,,,HR Tech,
900,Flexsin,Hiring,Noida,Yes,httpswww.linkedin.comj,UI Developer,Full-Time,IT Infrastructure,
901,FlipClass,Hiring,Bengaluru,,httpscutshort.iojobInsi,Inside Sales Executive,Full-Time,Education Tech,
902,Flipkart,Hiring,Bengaluru,No,httpswww.linkedin.comj,Associate Director- ,Full-Time,Ecommerce,
903,Flipspaces,Hiring freeze,Delhi, Mumbai, ,,,,,Real Estate,50%-70% pay cut across th
904,FLIX BUS,Hiring freeze,Bengaluru,,,,,,
905,Flixstock,Hiring,Delhi,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Information Technology,
906,Flock,Hiring,Mumbai,No,httpswww.linkedin.comj,Data Scientist,Full-Time,IT Infrastructure,
907,Fluid AI,Hiring,Remote,No,httpswww.linkedin.comj,Human Resources G,Full-Time,Information Technology,
908,Fluor Corporation,Hiring,Gurgaon,No,httpswww.linkedin.comj,Data Center Design ,Full-Time,Construction,
909,Foodomania,Hiring,Mumbai,No,httpswww.linkedin.comj,Content Manager,Full-Time,Publishing,
910,Foodshood.co,Hiring freeze,Bengaluru,,,,,Food & Dining,
911,Forcepoint,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Technical Support E,Full-Time,IT Infrastructure,
912,Forcepoint Software,Hiring,Delhi,,httpswww.jobsindia.com,Channel Account M,Full-Time,Productivity Software,
913,Forest Essentials,Hiring,Noida,No,httpswww.linkedin.comj,Senior Manager E-C,Full-Time,Retail,
914,Forever Living Products Ltd.,Hiring,Delhi,Yes,httpswww.linkedin.comj,arketing Executive,Full-Time,Marketing & Advertsing,
915,ForStaffing,Hiring,Noida,No,httpswww.linkedin.comj,software developme,Full-Time,Education Tech,
916,Fortinet,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Developm,Full-Time,Business Software,
917,Fortytwo42 Techonology Inno,Hiring,Pune,No,httpswww.linkedin.comj,Front End Developer,Full-Time,IT Infrastucture,
918,Foundation AI,Hiring freeze,Hyderabad,,,,,Information Technology,
919,Foundation for Mother and C,Hiring,Mumbai,,contact@fmch-india.org s,Program Head,Full-Time,Healthcare,
920,FourKites,Hiring freeze,Chennai,,,,,Travel & Transportation,
921,Fractal Analytics,Hiring freeze,Mumbai, Gurugr,,,,,Consulting & Services,
922,Fragma Data Systems,Hiring freeze,Bengaluru,,,,Full-Time,Information Technology,Hiring Now for the Data Sci
923,Franklin Templeton India,Hiring freeze,Hyderabad,,,,Full-Time,Financial Services,
924,Freecharge,Hiring freeze,Gurugram,,,,Full-Time,Telecom,
925,Freestone Infotech Pvt Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Java Developer,Full-Time,Information Technology,
926,Freshhomez,Hiring freeze,,,,,,Consumer Services,
927,frog,Hiring,Gurgaon,No,httpswww.linkedin.comj,Principal Interaction,Full-Time,Creative Arts  Design,
928,Frogiez,Hiring freeze,Bengaluru,,,,Full-Time,IT Infrastructure,
929,Frost Interactive,Hiring Freeze,Bengaluru,,,,Full-Time,Education Tech,
930,Fundamentum,Hiring Freeze,,,,,,,
931,Funding Societies,Layoffs,Thailand,,,,,Financial Services,Leadership roles and engin
932,Fungible Inc,Hiring,Bengaluru,,httpswww.fungible.com,Software Engineerin,Full-Time,Information Technology,
933,Funnearn,Hiring,Delhi,No,httpswww.linkedin.comj,Junior Product & M,Full-Time,Consumer Tech,
934,Funplates private limited,Layoffs,Mumbai,,,,,Marketing & Advertising,
935,Future Generali India Life Insu,Hiring,Thane,No,httpswww.linkedin.comj,Deputy Manager - B,Full-Time,Financial Services,
936,Futures First,Hiring freeze,Gurgaon,,,,Full-Time,Financial Services,
937,Fyle,Hiring freeze,Bengaluru, Karn,,,,Internship,Financial Services,
938,Fytorem Pvt Ltd,Hiring,Ernakulam,No,httpswww.linkedin.comj,Product Design Intern,Internship,Consumer Goods,
939,Gaana,Hiring,Noida,No,httpswww.linkedin.comj,DevOps Engineer,Full-Time,Media & Entertainment,
940,GAIL India ltd,Hiring,India,,Company portal,,,Manufacturing,
941,GAIN Credit,Hiring,Delhi,No,httpswww.linkedin.comj,Mean Stack Develop,Full-Time,Financial Services,
942,GAIN Credit (formerly Glob,Hiring,Bengaluru,No,httpswww.linkedin.comj,business developme,Internship,Financial Services,
943,GAIN Credit (formerly Global ,Hiring freeze,Chennai (India), ,,,,,Financial Services,
944,Gainsight,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Business Software,
945,Galentic Technologies Pvt Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Java Developer,Full-Time,Information Technology,
946,Gallup,Hiring freeze,Gurgaon,,,,Full-Time,Consulting & Services,
947,Galytix,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Data Analyst,Full-Time,IT Infrastructure,
948,GAME,Hiring Freeze,Punjab, Meghala,,,,Full-Time,,
949,Game Change Solutions,Hiring,Gurgaon,No,httpswww.linkedin.comj,Android Developer,Full-Time,IT Infrastucture,
950,Gameberry Labs,Hiring Freeze,Bengaluru,,,,Full-Time,Consumer Tech,
951,Gameopedia,Hiring Freeze,Hyderabad,,,,Full-Time,Media & Entertainment,
952,Gameskraft,Hiring,Bengaluru,No,httpswww.linkedin.comj,Full Stack Developer,Full-Time,Information Technology,
953,Garage Society co works,Hiring freeze,India,,,,,Real Estate,
954,Garena,Hiring,Bengaluru,No,httpswww.linkedin.comj,Marketing Manager,Full-Time,Others,
955,Garrett Motion SARL,Hiring Freeze,Pune,,,,,,
956,Gartner,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Team Manager-R&A,Full-Time,Information Technology,
957,Gartner India Research and A,Hiring freeze,India,,,,,,
958,GD Research Pvt. Ltd,Hiring,Hyderabad,Yes,httpswww.linkedin.comj,Project Manager,Full-Time,KPO  Research Analytics,
959,GE,Hiring freeze,Noida,,,,Full-Time,Manufacturing,
960,GE Aviation,Hiring freeze,,,,,,Travel & Transportation,
961,GE Digital,Hiring freeze,Hyderabad, Ben,,,,,Business Software,Hike is postponed.
962,GE Healthcare,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Software Engineer,Full-Time,Healthcare,
963,GE Renewable Energy,Hiring Freeze,Noida,,,,,,
